query_id	dada2_species	dada2_lineage
0121d3b5bd4bcd2dafde7a00f91a6ef2	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
0134e3108d1e20e02b7f1cc47c9f4e68	Butyricimonas virosa	544645 574697 1853231 171549 200643 976 68336 1783270 2 131567 
021bc20f471ec4990e4750d3ddcaa902	Bifidobacterium bifidum	1681 1678 31953 85004 1760 201174 1783272 2 131567 
0589c0d07528815f2b62a1a3ed64d1df	Fusicatenibacter saccharivorans	1150298 1407607 186803 186802 186801 1239 1783272 2 131567 
05977d637e16b5d4f1ad7d485b883a24	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
072213adf5c629262c8422ca95b132f4	Alistipes finegoldii	214856 239759 171550 171549 200643 976 68336 1783270 2 131567 
07ad45b0efcbc3f6a2037fb16900edf1	Phocaeicola vulgatus	821 909656 815 171549 200643 976 68336 1783270 2 131567 
0d3eb538caf795a189d36c621ef31c55	Bacteroides finegoldii	338188 816 815 171549 200643 976 68336 1783270 2 131567 
0da008884ef70c58dfceeb6cbe6c9ff4	Roseburia intestinalis	166486 841 186803 186802 186801 1239 1783272 2 131567 
0ddde5b9f6cb4ff9c1fc3a7fd95e4ca3	Alistipes finegoldii	214856 239759 171550 171549 200643 976 68336 1783270 2 131567 
10ff0741a2f5683a5d1e4d025f881acb	Veillonella dispar	39778 29465 31977 1843489 909932 1239 1783272 2 131567 
11924da628939bf47d407e58aac8d72e	Enterocloster clostridioformis	1531 2719313 186803 186802 186801 1239 1783272 2 131567 
1440aceea3acad8783d8649a7068f4c6	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
1576ac25a2be4826c91637828e88db9a	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
162d092104c49ff70be4fd2db33a468f	Streptococcus salivarius	1304 1301 1300 186826 91061 1239 1783272 2 131567 
16798147acb19487f6921bd23c2f3d43	Anaerostipes hadrus	649756 207244 186803 186802 186801 1239 1783272 2 131567 
184ca61d9e9b636975de57a58fc510ed	Phocaeicola vulgatus	821 909656 815 171549 200643 976 68336 1783270 2 131567 
1b8ec3bdd02374188325cc141863426a	Bacteroides nordii	291645 816 815 171549 200643 976 68336 1783270 2 131567 
1bb53ed37c57864f7301cbccd0d04bb0	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
1c15662776b4472584b5725b9ba6a649	Desulfovibrio piger	901 872 194924 213115 28221 68525 1224 2 131567 
1ccbc10a2b24b99ce1c3ba3d73c17c06	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
1cf582df9fc2bd8d96af74d0053bfb53	Parabacteroides distasonis	823 375288 2005525 171549 200643 976 68336 1783270 2 131567 
1eda09995b84b83a83996fcb8ebb9af4	Catenibacterium mitsuokai	100886 135858 2810280 526525 526524 1239 1783272 2 131567 
1f5449c780e48cddc024184124413f27	Veillonella dispar	39778 29465 31977 1843489 909932 1239 1783272 2 131567 
1f8d8ac481a0c6061257c6d1527cda5b	Alistipes senegalensis	1288121 239759 171550 171549 200643 976 68336 1783270 2 131567 
21c4653f3ded001724100e309cb4e5fe	Flavonifractor plautii	292800 946234 216572 186802 186801 1239 1783272 2 131567 
22e04c6d52b7df7ff833bc0f0a316d68	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
249a485dd2d7f85dd7a501deeae40f59	Bacteroides intestinalis	329854 816 815 171549 200643 976 68336 1783270 2 131567 
25740b4a030d6786f692632ace4b7265	Gordonibacter pamelaeae	471189 644652 1643826 1643822 84998 201174 1783272 2 131567 
27e91d4815d5408b19bd85b5a07d2ec9	Parabacteroides goldsteinii	328812 375288 2005525 171549 200643 976 68336 1783270 2 131567 
2844891bd5e41b072a8f784edfc1f0e8	Flavonifractor plautii	292800 946234 216572 186802 186801 1239 1783272 2 131567 
2a3cc7f0bc855457f45845fd883a2236	Phocaeicola massiliensis	204516 909656 815 171549 200643 976 68336 1783270 2 131567 
2c92ce927aaddf0afa787f179e0a4a2c	[Clostridium] symbiosum	1512 1506553 186803 186802 186801 1239 1783272 2 131567 
2dfa7f58b3515f83361e275e419c67cf	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
2e60fd3e7ee4aaac8b1a1f088bd6e1f5	Ligilactobacillus salivarius	1624 2767887 33958 186826 91061 1239 1783272 2 131567 
2f2a703876c2d831628a0e33da1fa9d1	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
3016b070726d0a9e6cdb87c4a3914d07	Phocaeicola dorei	357276 909656 815 171549 200643 976 68336 1783270 2 131567 
321df25a6ba991664059c0f5744de57a	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
32a872c774ae7c2901cd9129cdecb6e2	Streptococcus mitis	28037 1301 1300 186826 91061 1239 1783272 2 131567 
33544ef5c57761aa503c346db6ca0705	Veillonella parvula	29466 29465 31977 1843489 909932 1239 1783272 2 131567 
33c4d3e10234fcfe5172a4693842a677	Bacteroides ovatus	28116 816 815 171549 200643 976 68336 1783270 2 131567 
34bff2473c8e57f848a528bc1ca62112	Bacteroides cellulosilyticus	246787 816 815 171549 200643 976 68336 1783270 2 131567 
354b7ed8eb459d0a54461427f289aff5	Bacteroides faecis	674529 816 815 171549 200643 976 68336 1783270 2 131567 
355368acba24d991665ff7d27df72fe2	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
364aca6c1f5b4bfbdfdef74c98cc0e2e	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
36f595c21680faa2a98189916d62af39	Barnesiella intestinihominis	487174 397864 2005519 171549 200643 976 68336 1783270 2 131567 
3b46486ac7ff4b66f690bd03fe6af0ba	Prevotella copri	165179 838 171552 171549 200643 976 68336 1783270 2 131567 
3d7e91d7998b1d6fe149a0b4d49186ee	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
3f6c1be7bd9f7e8282dd07ed8494667d	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
45c91b5f15060adec06841782981de9e	Dialister succinatiphilus	487173 39948 31977 1843489 909932 1239 1783272 2 131567 
4930f515dc47987f2ecb43467c618cdc	Anaerostipes hadrus	649756 207244 186803 186802 186801 1239 1783272 2 131567 
498305fa980c4e202e147c688f2f9a03	Intestinimonas butyriciproducens	1297617 1392389 538999 186802 186801 1239 1783272 2 131567 
49e8aeb07812a1ad3e41f823fbf09aba	Abiotrophia defectiva	46125 46123 186827 186826 91061 1239 1783272 2 131567 
4b591d3a7e809eee6576b38873a37acd	Propionibacterium freudenreichii	1744 1743 31957 85009 1760 201174 1783272 2 131567 
4e5bf37c66b082e90373ee7e487a12da	Bacteroides xylanisolvens	371601 816 815 171549 200643 976 68336 1783270 2 131567 
50056ec627d91eec90740af446cb6750	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
51f9e3f059d681f84ee14d85ecff71be	Veillonella dispar	39778 29465 31977 1843489 909932 1239 1783272 2 131567 
558d827e118096daa3954b56ce11da76	Victivallis vadensis	172901 172900 255528 278082 1313211 256845 1783257 2 131567 
55a8db893790584864fd8a5b4b906826	Alistipes shahii	328814 239759 171550 171549 200643 976 68336 1783270 2 131567 
58f31af4ce04a28957999da1ab8e9104	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
5a7a85dd585fb817361c2ff0e45c41ac	Sutterella wadsworthensis	40545 40544 995019 80840 28216 1224 2 131567 
5b482e2745bd256dc1c475093d8bfbef	Christensenella hongkongensis	270498 990721 990719 186802 186801 1239 1783272 2 131567 
5c096134f63413d295c847d953c84102	Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
5f679ea11ca4f6e69f09202129069046	Bacteroides cellulosilyticus	246787 816 815 171549 200643 976 68336 1783270 2 131567 
5f98dee5f627e6288b0344678643d342	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
60ef9b0ced7f50edf95e960eaf58933d	Lactobacillus delbrueckii	1584 1578 33958 186826 91061 1239 1783272 2 131567 
632709d511564253092dffe31cdc7eae	Blautia hansenii	1322 572511 186803 186802 186801 1239 1783272 2 131567 
63da67a888af9358a6e5eacce8d02cf4	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
6451bd6b2889748c766c388b93fba921	Desulfovibrio fairfieldensis	44742 872 194924 213115 28221 68525 1224 2 131567 
6451c34a07e9d1b34d9045e3dd539dde	Abiotrophia defectiva	46125 46123 186827 186826 91061 1239 1783272 2 131567 
64d0217a0a9cf8de8d693424a0168820	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
64dfd257413618d54e4bd62c0693d49d	Prevotella corporis	28128 838 171552 171549 200643 976 68336 1783270 2 131567 
680564157327f1b06d30382e7e9c4325	Ruminococcus champanellensis	1161942 1263 216572 186802 186801 1239 1783272 2 131567 
681da483c3cb1fd6daedcd13f2dfe304	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
6a60b04a69cdd7c0c549fe0b5668ca10	Erysipelatoclostridium ramosum	1547 1505663 128827 526525 526524 1239 1783272 2 131567 
6af5f8ea781a98464482a500ff544d17	Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
6b040df34e53e089f80f2bf30c43a9e0	Anaerostipes hadrus	649756 207244 186803 186802 186801 1239 1783272 2 131567 
6b8c2ba9b082ed1fda852e911e91b570	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
6de29609de13fe9495d7ac21d9b4aeba	Odoribacter laneus	626933 283168 1853231 171549 200643 976 68336 1783270 2 131567 
6fafc81053721d8f042f9c53aca228a5	Prevotella denticola	28129 838 171552 171549 200643 976 68336 1783270 2 131567 
70673c80ddf541ceeb55dcf07cf8a355	Prevotella buccalis	28127 838 171552 171549 200643 976 68336 1783270 2 131567 
72207a5ede6bea6caf5dc4d4d037560c	Parafannyhessea umbonata	604330 2847312 1643824 84999 84998 201174 1783272 2 131567 
72cec3ea59ef46d30b9503e3cb27ac5b	Veillonella parvula	29466 29465 31977 1843489 909932 1239 1783272 2 131567 
73eb72cdc47d2eac6cf7b43845ed9379	Leuconostoc gelidum	1244 1243 33958 186826 91061 1239 1783272 2 131567 
7424aa9f2973e9465339841c2b1da0ad	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
74bde5aec91603030565aa6390cead24	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
7635ab9d8a511fc6c9e6b25b1a3603d6	Granulicatella adiacens	46124 117563 186828 186826 91061 1239 1783272 2 131567 
7695d957e3ea939d52f665221947db7e	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
7947d8d6ece13ba4b53250545e349c9b	[Clostridium] saccharogumia	341225 1505663 128827 526525 526524 1239 1783272 2 131567 
79d404528306249c441eabefe7580715	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
7cbfc7d00828d9462e108c255de92e07	Haemophilus parainfluenzae	729 724 712 135625 1236 1224 2 131567 
7ced70afd00e3b9313b058e19cf6e2f9	Odoribacter splanchnicus	28118 283168 1853231 171549 200643 976 68336 1783270 2 131567 
7f965150f4a2096566e3af77253087c1	Collinsella stercoris	147206 102106 84107 84999 84998 201174 1783272 2 131567 
80be4d4ad3022ae76ca8682ffd2a2d35	Streptococcus sobrinus	1310 1301 1300 186826 91061 1239 1783272 2 131567 
80facb5d4e8c8b60edcaf40dbe765724	Bacteroides stercoris	46506 816 815 171549 200643 976 68336 1783270 2 131567 
814fc894d244a6de045169396f2fdcd6	Phocaeicola dorei	357276 909656 815 171549 200643 976 68336 1783270 2 131567 
837aaf91963b7190e50949392aff105f	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
861add376149471d2678605fc49c6b35	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
89db618c70c97493128ff803d476ea4c	Alistipes putredinis	28117 239759 171550 171549 200643 976 68336 1783270 2 131567 
8c327748688170e8d35def97356103b9	Megasphaera micronuciformis	187326 906 31977 1843489 909932 1239 1783272 2 131567 
8c646299b6c6c5ce0d6c1f22a78c818a	Streptococcus salivarius	1304 1301 1300 186826 91061 1239 1783272 2 131567 
8e87e7e09defe80ee88632b56c4818b1	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
956485488d2278060d6d8d0af2d6f50e	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
984d0c65c3e9d221ed89bde2b0f01846	Adlercreutzia equolifaciens	446660 447020 1643826 1643822 84998 201174 1783272 2 131567 
986dcfc7bdf1baea786fdbdab5a9ce94	Ruminococcus bicirculans	1160721 1263 216572 186802 186801 1239 1783272 2 131567 
9986863aea6cfec02f5f77359aa1bf3a	Eggerthella lenta	84112 84111 1643826 1643822 84998 201174 1783272 2 131567 
