query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani	fragments_aligned	fragments_total
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000008.1_rrna_2	100.0	96.1434	562	622
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000009.1_rrna_21	100.0	96.1434	562	622
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000011.1_rrna_35	100.0	96.1434	562	622
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000012.1_rrna_72	100.0	96.1434	562	622
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000013.1_rrna_76	100.0	96.1434	562	622
GCF_000148585.2	GCF_002014755.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_MUYN01000010.1_rrna_39	100.0	99.9786	604	622
GCF_000148585.2	GCF_003942575.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_RJNH01000023.1_rrna_43	100.0	94.0001	498	622
GCF_000148585.2	GCF_009730515.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP046335.1_rrna_1	100.0	99.9955	621	622
GCF_000148585.2	GCF_009730515.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP046335.1_rrna_8	100.0	99.9955	621	622
GCF_000148585.2	GCF_009730515.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP046335.1_rrna_25	100.0	99.9955	621	622
GCF_000148585.2	GCF_009730515.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP046335.1_rrna_40	100.0	99.9955	621	622
GCF_000148585.2	GCF_019047825.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP077259.1_rrna_8	100.0	99.9946	620	622
GCF_000148585.2	GCF_019047825.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP077259.1_rrna_15	100.0	99.9946	620	622
GCF_000148585.2	GCF_019047825.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP077259.1_rrna_32	100.0	99.9946	620	622
GCF_000148585.2	GCF_019047825.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP077259.1_rrna_47	100.0	99.9946	620	622
GCF_000148585.2	GCF_019929505.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JAHZPR010000011.1_rrna_7	100.0	99.9838	605	622
GCF_000148585.2	GCF_900459425.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_UHFS01000003.1_rrna_16	100.0	99.9947	621	622
GCF_000148585.2	GCF_900459425.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_UHFS01000002.1_rrna_26	100.0	99.9947	621	622
GCF_000148585.2	GCF_900459425.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_UHFS01000002.1_rrna_62	100.0	99.9947	621	622
GCF_000148585.2	GCF_900459425.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_UHFS01000001.1_rrna_81	100.0	99.9947	621	622
GCF_000148585.2	GCF_001070375.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVYJ01000065.1_rrna_8	99.94	95.5763	540	622
GCF_000148585.2	GCF_001579665.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_LQZD01000472.1_rrna_24	99.94	93.585	504	622
GCF_000148585.2	GCF_002096835.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_NCVG01000012.1_rrna_29	99.94	94.1816	500	622
GCF_000148585.2	GCF_019929545.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JAHZPT010000052.1_rrna_30	99.94	94.734	502	622
GCF_000148585.2	GCF_019929615.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JAHZPS010000052.1_rrna_52	99.94	94.7146	509	622
GCF_000148585.2	GCF_905187495.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CAJJIB010000013.1_rrna_22	99.94	95.1872	545	622
GCF_000148585.2	GCF_000724165.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JPGW01000010.1_rrna_31	99.87	96.1434	562	622
GCF_000148585.2	GCF_001070035.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JWFA01000073.1_rrna_30	99.87	95.5817	535	622
GCF_000148585.2	GCF_001070705.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVRN01000014.1_rrna_19	99.87	95.6084	539	622
GCF_000148585.2	GCF_001070705.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVRN01000015.1_rrna_37	99.87	95.6084	539	622
GCF_000148585.2	GCF_002096855.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_NCVH01000023.1_rrna_22	99.87	94.8936	513	622
GCF_000148585.2	GCF_019929525.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JAHZPQ010000042.1_rrna_29	99.87	95.5214	531	622
GCF_000148585.2	GCF_001070805.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVNG01000029.1_rrna_41	99.87	93.9633	495	622
GCF_000148585.2	GCF_001070805.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVNG01000038.1_rrna_66	99.87	93.9633	495	622
GCF_000148585.2	GCF_001070805.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVNG01000042.1_rrna_72	99.87	93.9633	495	622
GCF_000148585.2	GCF_001072115.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVMU01000074.1_rrna_53	99.87	93.7973	488	622
GCF_000148585.2	GCF_001072665.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVJI01000137.1_rrna_31	99.87	93.8367	480	622
GCF_000148585.2	GCF_013625495.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JACEMC010000108.1_rrna_30	99.81	83.6568	96	622
GCF_000148585.2	GCF_001070335.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVYP01000079.1_rrna_25	99.81	87.0568	449	622
GCF_000148585.2	GCF_001071715.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVQE01000007.1_rrna_3	99.81	86.9306	461	622
GCF_000148585.2	GCF_001071715.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVQE01000029.1_rrna_45	99.81	86.9306	461	622
GCF_000148585.2	GCF_001071715.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_JVQE01000030.1_rrna_64	99.81	86.9306	461	622
GCF_000148585.2	GCF_001885595.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_MBDM01000002.1_rrna_8	99.81	87.1343	454	622
GCF_000148585.2	GCF_001983955.1	lcl|NZ_CP028414.1_rrna_2	lcl|NZ_CP019562.1_rrna_49	99.81	87.1708	467	622
