query_id	unassigner_species	typestrain_id	region_mismatches	region_positions	probability_incompatible	unassigner_lineage
00df07e02a097b435bfea2b86d76e007	Bacteroides uniformis	AB510711	1	314	0.0005448625469584	820 816 815 171549 200643 976 68336 1783270 2 131567 
0121d3b5bd4bcd2dafde7a00f91a6ef2	Dialister invisus	ACIM02000001	5	332	0.0951384665072132	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
012f63944063da0df2b9e04763638fb4	Barnesiella intestinihominis	AB547647	3	317	0.0138487064064146	487174 397864 2005519 171549 200643 976 68336 1783270 2 131567 
0134e3108d1e20e02b7f1cc47c9f4e68	Butyricimonas virosa	AB443949	0	311	2.21117421076444e-05	544645 574697 1853231 171549 200643 976 68336 1783270 2 131567 
0174db513039fb3c4bdda8edd7a9c8e5	Holdemanella biformis	ABYT01000002	1	316	0.00044944974087823	1735 1573535 128827 526525 526524 1239 1783272 2 131567 
0190b4605c563d631f6c7bca3d64987e	Roseburia inulinivorans	AJ270473	5	324	0.098430636237494	360807 841 186803 186802 186801 1239 1783272 2 131567 
0192bb87419f987008ce559f09d0c28b	Frisingicoccus caecimuris	KR364774	8	326	0.479379612738096	1796636 1918511 186803 186802 186801 1239 1783272 2 131567 
01a157a3cb4ddd77fab7b6477e839693	Waltera intestinalis	MN537553	1	313	0.00053662178135105	2606635 2815781 186803 186802 186801 1239 1783272 2 131567 
01a21df98cebbbebe75df6c1c01ae4c8	Oliverpabstia intestinalis	MN537507	5	324	0.0967893169005246	2606633 2815777 186803 186802 186801 1239 1783272 2 131567 
01c9d1d01a7a921610b338030b0d9273	Prevotella copri	ACBX02000014	3	317	0.014040462601229	165179 838 171552 171549 200643 976 68336 1783270 2 131567 
021a9dd9ded3236d26bae49bdf2e7efd	Phocaeicola coprocola	ABIY02000097	3	315	0.0172326389675765	310298 909656 815 171549 200643 976 68336 1783270 2 131567 
021bc20f471ec4990e4750d3ddcaa902	Bifidobacterium bifidum	U25952	3	309	0.0173698072502814	1681 1678 31953 85004 1760 201174 1783272 2 131567 
0224d068eb93dd2dca12b0c5fb64060e	Blautia luti	AB691576	6	323	0.193815344768535	89014 572511 186803 186802 186801 1239 1783272 2 131567 
026c7f2b153acc28cb8bb49bc87352a4	[Eubacterium] siraeum	ABCA03000037	1	308	0.00058974104020059	39492 552397 216572 186802 186801 1239 1783272 2 131567 
0287b34d5b4ef6b3bc26b7b26483f292	Phascolarctobacterium succinatutens	AB490811	5	423	0.0152336756514652	626940 33024 909930 1843488 909932 1239 1783272 2 131567 
028bb7951bd816284c37546fb47c255d	Clostridium saudiense	HG726039	2	309	0.00460675672081134	1414720 1485 31979 186802 186801 1239 1783272 2 131567 
