query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani	fragments_aligned	fragments_total
GCF_006742205.1	GCF_001469315.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_LNUS01000001.1_rrna_65	100.0	99.5261	778	808
GCF_006742205.1	GCF_001473265.2	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_LORL02000003.1_rrna_2	100.0	99.1612	788	808
GCF_006742205.1	GCF_002085695.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP020463.1_rrna_4	100.0	99.3805	779	808
GCF_006742205.1	GCF_002954055.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP014132.1_rrna_84	100.0	99.2689	779	808
GCF_006742205.1	GCF_003856395.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP034111.1_rrna_29	100.0	99.1837	777	808
GCF_006742205.1	GCF_003856455.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP034115.1_rrna_29	100.0	99.1919	783	808
GCF_006742205.1	GCF_011306595.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP043777.1_rrna_30	100.0	99.4839	769	808
GCF_006742205.1	GCF_011307595.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP043796.1_rrna_2	100.0	99.3829	778	808
GCF_006742205.1	GCF_011307715.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP043804.1_rrna_45	100.0	99.4958	788	808
GCF_006742205.1	GCF_016727385.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP068136.1_rrna_25	100.0	99.3762	782	808
GCF_006742205.1	GCF_016889165.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP069473.1_rrna_27	100.0	99.4464	775	808
GCF_006742205.1	GCF_016903555.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP069951.1_rrna_81	100.0	99.4161	773	808
GCF_006742205.1	GCF_016903575.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP069954.1_rrna_43	100.0	99.0274	759	808
GCF_006742205.1	GCF_021496075.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP090922.1_rrna_4	100.0	99.4747	779	808
GCF_006742205.1	GCF_900458535.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_UHDG01000001.1_rrna_3	100.0	99.4595	701	808
GCF_006742205.1	GCF_900458575.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_UHDC01000001.1_rrna_4	100.0	99.4487	793	808
GCF_006742205.1	GCF_900458605.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_UHDF01000003.1_rrna_4	100.0	99.9966	803	808
GCF_006742205.1	GCF_900458655.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_UHDE01000003.1_rrna_62	100.0	99.6129	781	808
GCF_006742205.1	GCF_000751035.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_HG813242.1_rrna_62	100.0	99.4678	775	808
GCF_006742205.1	GCF_001076465.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_JVFR01000050.1_rrna_36	99.94	99.5465	745	808
GCF_006742205.1	GCF_001068995.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_JVVI01000087.1_rrna_27	99.94	99.4826	732	808
GCF_006742205.1	GCF_007667755.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_VDRR01000043.1_rrna_38	99.94	99.5072	745	808
GCF_006742205.1	GCF_003980105.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_LUBC01000006.1_rrna_4	99.94	96.8163	623	808
GCF_006742205.1	GCF_003956875.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_MLXC01000044.1_rrna_38	99.94	96.8243	685	808
GCF_006742205.1	GCF_001622905.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_LWBJ01000043.1_rrna_38	99.94	99.4098	738	808
GCF_006742205.1	GCF_001075525.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_JULM01000082.1_rrna_32	99.94	99.7581	745	808
GCF_006742205.1	GCF_002885055.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_PJKH01000033.1_rrna_42	99.94	79.7557	6	808
GCF_006742205.1	GCF_001073995.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_JUWT01000049.1_rrna_11	99.94	99.3876	720	808
GCF_006742205.1	GCF_016406225.1	lcl|NZ_AP019721.1_rrna_4	lcl|NZ_CP066303.1_rrna_72	99.94	99.5219	711	808
